Код диагноза,Название диагноза,Код родителя
A15-A19,ТУБЕРКУЛЕЗ (A15-A19),A00-B99
A15,"Туберкулез органов дыхания, подтвержденный бактериологически и гистологически",A15-A19
A15.0,"Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры",A15
A15.1,"Туберкулез легких, подтвержденный только ростом культуры",A15
A15.2,"Туберкулез легких, подтвержденный гистологически",A15
A15.3,"Туберкулез легких, подтвержденный неуточненными методами",A15
A15.4,"Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически",A15
A15.5,"Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически",A15
A15.6,"Туберкулезный плеврит, подтвержденный бактериологически и гистологически",A15
A15.7,"Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически",A15
A15.8,"Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически",A15
A15.9,"Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически",A15
A16,"Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически",A15-A19
A16.0,Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований,A16
A16.1,Туберкулез легких без проведения бактериологического и гистологического исследований,A16
A16.2,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,A16
A16.3,Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении,A16
A16.4,"Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении",A16
A16.5,Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении,A16
A16.7,Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении,A16
A16.8,Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении,A16
A16.9,Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении,A16
A17,Туберкулез нервной системы,A15-A19
A17.0,Туберкулезный менингит (G01*),A17
A17.1,Менингеальная туберкулема (G07*),A17
A17.8,Туберкулез нервной системы другой локализаций,A17
A17.9,Туберкулез нервной системы неуточненный (G99.8*),A17
A18,Туберкулез других органов,A15-A19
A18.0,Туберкулез костей и суставов,A18
A18.1,Туберкулез мочеполовых органов,A18
A18.2,Туберкулезная периферическая лимфаденопатия,A18
A18.3,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов",A18
A18.4,Туберкулез кожи и подкожной клетчатки,A18
A18.5,Туберкулез глаза,A18
A18.6,Туберкулез уха,A18
A18.7,Туберкулез надпочечников (E35.1*),A18
A18.8,Туберкулез других уточненных органов,A18
A19,Милиарный туберкулез,A15-A19
A19.0,Острый милиарный туберкулез одной уточненной локализации,A19
A19.1,Острый милиарный туберкулез множественной локализации,A19
A19.2,Острый милиарный туберкулез неуточненной локализации,A19
A19.8,Другие формы милиарного туберкулеза,A19
A19.9,Милиарный туберкулез неуточненной локализации,A19
A20-A28,НЕКОТОРЫЕ БАКТЕРИАЛЬНЫЕ ЗООНОЗЫ (A20-A28),A00-B99
A20,Чума,A20-A28
A20.0,Бубонная чума,A20
A20.1,Целлюлярнокожная чума,A20
A20.2,Легочная чума,A20
A20.3,Чумной менингит,A20
A20.7,Септическая чума,A20
A20.8,Другие формы чумы,A20
A20.9,Чума неуточненная,A20
A21,Туляремия,A20-A28
A21.0,Ульцерогландулярная туляремия,A21
A21.1,Окулогландулярная туляремия,A21
A21.2,Легочная туляремия,A21
A21.3,Желудочно-кишечная туляремия,A21
A21.7,Генерализованная туляремия,A21
A21.8,Другие формы туляремии,A21
A21.9,Туляремия неуточненная,A21
A22,Сибирская язва,A20-A28
A22.0,Кожная форма сибирской язвы,A22
A22.1,Легочная форма сибирской язвы,A22
A22.2,Желудочно-кишечная форма сибирской язвы,A22
A22.7,Сибиреязвенная септицемия,A22
A22.8,Другие формы сибирской язвы,A22
A22.9,Сибирская язва неуточненная,A22
A23,Бруцеллез,A20-A28
A23.0,"Бруцеллез, вызванный Brucella melitensis",A23
A23.1,"Бруцеллез, вызванный Brucella abortus",A23
A23.2,"Бруцеллез, вызванный Brucella suis",A23
A23.3,"Бруцеллез, вызванный Brucella canis",A23
A23.8,Другие формы бруцеллеза,A23
A23.9,Бруцеллез неуточненный,A23
A24,Сап и мелиоидоз,A20-A28
A24.0,Сап,A24
A24.1,Острый или молниеносный мелиоидоз,A24
A24.2,Подострый и хронический мелиоидоз,A24
A24.3,Другой уточненный мелиоидоз,A24
A24.4,Мелиоидоз неуточненный,A24
A25,Лихорадка от укуса крыс,A20-A28
A25.0,Спириллез,A25
A25.1,Стрептобациллез,A25
A25.9,Лихорадка от укуса крыс неуточненная,A25
A26,Эризипелоид,A20-A28
A26.0,Кожный эризипелоид,A26
A26.7,"Септицемия, вызванная Erysipelothrix",A26
A26.8,Другие формы эризипелоида,A26
A26.9,Эризипелоид неуточненный,A26
A27,Лептоспироз,A20-A28
A27.0,Лептоспироз желтушно-геморрагический,A27
A27.8,Другие формы лептоспироза,A27
A27.9,Лептоспироз неуточненный,A27
A28,"Другие бактериальные зоонозы, не классифицированные в других рубриках",A20-A28
A28.0,Пастереллез,A28
A28.1,Лихорадка от кошачьих царапин,A28
A28.2,Экстраинтестинальный иерсиниоз,A28
A28.8,"Другие уточненные бактериальные зоонозы, не классифицированные в других рубриках",A28
A28.9,Бактериальные зоонозы неуточненные,A28
A30-A49,ДРУГИЕ БАКТЕРИАЛЬНЫЕ БОЛЕЗНИ (A30-A49),A00-B99
A30,Лепра [болезнь Гансена],A30-A49
A30.0,Недифференцированная лепра,A30
A30.1,Туберкулоидная лепра,A30
A30.2,Пограничная туберкулоидная лепра,A30
A30.3,Пограничная лепра,A30
A30.4,Пограничная лепроматозная лепра,A30
A30.5,Лепроматозная лепра,A30
A30.8,Другие формы лепры,A30
A30.9,Лепра неуточненная,A30
A31,"Инфекции, вызванные другими микобактериями",A30-A49
A31.0,"Легочная инфекция, вызванная Mycobacterium",A31
A31.1,"Кожная инфекция, вызванная Mycobacterium",A31
A31.8,"Другие инфекции, вызванные Mycobacterium",A31
A31.9,"Инфекция, вызванная Mycobacterium, неуточненная",A31
A32,Листериоз,A30-A49
A32.0,Кожный листериоз,A32
A32.1,Листериозный менингит и менингоэнцефалит,A32
A32.7,Листериозная септицемия,A32
A32.8,Другие формы листериоза,A32
A32.9,Листериоз неуточненный,A32
A33,Столбняк новорожденного,A30-A49
A34,Акушерский столбняк,A30-A49
A35,Другие формы столбняка,A30-A49
A36,Дифтерия,A30-A49
A36.0,Дифтерия глотки,A36
A36.1,Дифтерия носоглотки,A36
A36.2,Дифтерия гортани,A36
A36.3,Дифтерия кожи,A36
A36.8,Другая дифтерия,A36
A36.9,Дифтерия неуточненная,A36
A37,Коклюш,A30-A49
A37.0,"Коклюш, вызванный Bordetella pertussis",A37
A37.1,"Коклюш, вызванный Bordetella parapertussis",A37
A37.8,"Коклюш, вызванный другим уточненным возбудителем вида Bordetella",A37
A37.9,Коклюш неуточненный,A37
A38,Скарлатина,A30-A49
A39,Менингококковая инфекция,A30-A49
A39.0,Менингококковый менингит (G01*),A39
A39.1,Синдром Уотерхауса-Фридериксена (E35.1*),A39
A39.2,Острая менингококкемия,A39
A39.3,Хроническая менингококкемия,A39
A39.4,Менингококкемия неуточненная,A39
A39.5,Менингококковая болезнь сердца,A39
A39.8,Другие менингококковые инфекции,A39
A39.9,Менингококковая инфекция неуточненная,A39
A40,Стрептококковая септицемия,A30-A49
A40.0,"Септицемия, вызванная стрептококком группы A",A40
A40.1,"Септицемия, вызванная стрептококком группы B",A40
A40.2,"Септицемия, вызванная стрептококком группы D",A40
A40.3,"Септицемия, вызванная Streptococcus pneumoniae",A40
A40.8,Другие стрептококковые септицемии,A40
A40.9,Стрептококковая септицемия неуточненная,A40
A41,Другая септицемия,A30-A49
A41.0,"Септицемия, вызванная Staphylococcus aureus",A41
A41.1,"Септицемия, вызванная другим уточненным стафилококком",A41
A41.2,"Септицемия, вызванная неуточненным стафилококком",A41
A41.3,"Септицемия, вызванная Haemophilus influenzae",A41
A41.4,"Септицемия, вызванная анаэробами",A41
A41.5,"Септицемия, вызванная другими грамотрицательными микроорганизмами",A41
A41.8,Другая уточненная септицемия,A41
A41.9,Септицемия неуточненная,A41
A42,Актиномикоз,A30-A49
A42.0,Легочный актиномикоз,A42
A42.1,Абдоминальный актиномикоз,A42
A42.2,Шейно-лицевой актиномикоз,A42
A42.7,Актиномикозная септицемия,A42
A42.8,Другие актиномикозы,A42
A42.9,Актиномикоз неуточненный,A42
A43,Нокардиоз,A30-A49
A43.0,Легочный нокардиоз,A43
A43.1,Нокардиоз кожи,A43
A43.8,Другие формы нокардиоза,A43
A43.9,Нокардиоз неуточненный,A43
A44,Бартонеллез,A30-A49
A44.0,Системный бартонеллез,A44
A44.1,Кожный и кожно-слизистый бартонеллез,A44
A44.8,Другие бартонеллезы,A44
A44.9,Бартонеллез неуточненный,A44
A46,Рожа,A30-A49
A48,"Другие бактериальные болезни, не классифицированные в других рубриках",A30-A49
A48.0,Газовая гангрена,A48
A48.1,Болезнь легионеров,A48
A48.2,Болезнь легионеров без пневмонии [лихорадка Понтиак],A48
A48.3,Синдром токсического шока,A48
A48.4,Бразильская пурпурная лихорадка,A48
A48.8,Другие уточненные бактериальные болезни,A48
A49,Бактериальная инфекция неуточненной локализации,A30-A49
A49.0,Стафилококковая инфекция неуточненная,A49
A49.1,Стрептококковая инфекция неуточненная,A49
A49.2,"Инфекция, вызванная Haemophilus influenzae, неуточненная",A49
A49.3,"Инфекция, вызванная микоплазмой, неуточненная",A49
A49.8,Другие бактериальные инфекции неуточненной локализации,A49
A49.9,Бактериальная инфекция неуточненная,A49
A50-A64,"ИНФЕКЦИИ, ПЕРЕДАЮЩИЕСЯ ПРЕИМУЩЕСТВЕННО ПОЛОВЫМ ПУТЕМ (A50-A64)",A00-B99
A50,Врожденный сифилис,A50-A64
A50.0,Ранний врожденный сифилис с симптомами,A50
A50.1,Ранний врожденный сифилис скрытый,A50
A50.2,Ранний врожденный сифилис неуточненный,A50
A50.3,Позднее врожденное сифилитическое поражение глаз,A50
A50.4,Поздний врожденный нейросифилис [ювенильный нейросифилис],A50
A50.5,Другие формы позднего врожденного сифилиса с симптомами,A50
A50.6,Поздний врожденный сифилис скрытый,A50
A50.7,Поздний врожденный сифилис неуточненный,A50
A50.9,Врожденный сифилис неуточненный,A50
A51,Ранний сифилис,A50-A64
A51.0,Первичный сифилис половых органов,A51
A51.1,Первичный сифилис анальной области,A51
A51.2,Первичный сифилис других локализаций,A51
A51.3,Вторичный сифилис кожи и слизистых оболочек,A51
A51.4,Другие формы вторичного сифилиса,A51
A51.5,Ранний сифилис скрытый,A51
A51.9,Ранний сифилис неуточненный,A51
A52,Поздний сифилис,A50-A64
A52.0,Сифилис сердечно-сосудистой системы,A52
A52.1,Нейросифилис с симптомами,A52
A52.2,Асимптомный нейросифилис,A52
A52.3,Нейросифилис неуточненный,A52
A52.7,Другие симптомы позднего сифилиса,A52
A52.8,Поздний сифилис скрытый,A52
A52.9,Поздний сифилис неуточненный,A52
A53,Другие и неуточненные формы сифилиса,A50-A64
A53.0,"Скрытый сифилис, неуточненный как ранний или поздний",A53
A53.9,Сифилис неуточненный,A53
A54,Гонококковая инфекция,A50-A64
A54.0,Гонококковая инфекция нижних отделов мочеполового тракта без абсцедирования периуретральных или придаточных желез,A54
A54.1,Гонококковая инфекция нижних отделов мочеполового тракта с абсцедированием периуретральных и придаточных желез,A54
A54.2,Гонококковая пельвиоперитонит и другая гонококковая инфекция мочеполовых органов,A54
A54.3,Гонококковая инфекция глаз,A54
A54.4,Гонококковая инфекция костно-мышечной системы,A54
A54.5,Гонококковый фарингит,A54
A54.6,Гонококковая инфекция аноректальной области,A54
A54.8,Другие гонококковые инфекции,A54
A54.9,Гонококковая инфекция неуточненная,A54
A55,Хламидийная лимфогранулема (венерическая),A50-A64
A56,"Другие хламидийные болезни, передающиеся половым путем",A50-A64
A56.0,Хламидийные инфекции нижних отделов мочеполового тракта,A56
A56.1,Хламидийные инфекции органов малого таза и других мочеполовых органов,A56
A56.2,Хламидийная инфекция мочеполового тракта неуточненная,A56
A56.3,Хламидийная инфекция аноректальной области,A56
A56.4,Хламидийный фарингит,A56
A56.8,"Хламидийные инфекции, передающиеся половым путем, другой локализации",A56
A57,Шанкроид,A50-A64
A58,Паховая гранулема,A50-A64
A59,Трихомониаз,A50-A64
A59.0,Урогенитальный трихомониаз,A59
A59.8,Трихомониаз других локализаций,A59
A59.9,Трихомониаз неуточненный,A59
A60,Аногенитальная герпетическая вирусная инфекция [herpes simplex],A50-A64
A60.0,Герпетические инфекции половых органов и мочеполового тракта,A60
A60.1,Герпетические инфекции перианальных кожных покровов и прямой кишки,A60
A60.9,Аногенитальная герпетическая инфекция неуточненная,A60
A63,"Другие болезни, передающиеся преимущественно половым путем, не классифицированные в других рубриках",A50-A64
A63.0,Аногенитальные (венерические) бородавки,A63
A63.8,"Другие уточненные заболевания, передающиеся преимущественно половым путем",A63
A64,"Болезни, передающиеся половым путем, неуточненные",A50-A64
A65-A69,"ДРУГИЕ БОЛЕЗНИ, ВЫЗЫВАЕМЫЕ СПИРОХЕТАМИ (A65-A69)",A00-B99
A65,Невенерический сифилис,A65-A69
A66,Фрамбезия,A65-A69
A66.0,Первичные фрамбезийные поражения,A66
A66.1,Множественные папилломы и пианома подошвенная,A66
A66.2,Другие ранние кожные фрамбезийные поражения,A66
A66.3,Фрамбезийный гиперкератоз,A66
A66.4,Фрамбезийные гуммы и язвы,A66
A66.5,Гангоза,A66
A66.6,Фрамбезийные поражения костей и суставов,A66
A66.7,Другие проявления фрамбезии,A66
A66.8,Латентная фрамбезия,A66
A66.9,Фрамбезия неуточненная,A66
A67,Пинта [карате],A65-A69
A67.0,Первичные поражения при пинте,A67
A67.1,Промежуточные поражения при пинте,A67
A67.2,Поздние поражения при пинте,A67
A67.3,Смешанные поражения при пинте,A67
A67.9,Пинта неуточненная,A67
A68,Возвратные лихорадки,A65-A69
A68.0,Вшивая возвратная лихорадка,A68
A68.1,Эпидемический возвратный тиф,A68
A68.9,Возвратная лихорадка неуточненная,A68
A69,"Другие инфекции, вызванные спирохетами",A65-A69
A69.0,Некротизирующий язвенный стоматит,A69
A69.1,Другие инфекции Венсана,A69
A69.2,Болезнь Лайма,A69
A69.8,Другие уточненные спирохетозные инфекции,A69
A69.9,Спирохетозная инфекция неуточненная,A69
A70-A74,"ДРУГИЕ БОЛЕЗНИ, ВЫЗЫВАЕМЫЕ ХЛАМИДИЯМИ (A70-A74)",A00-B99
A70,"Инфекция, вызываемая Chlamydia psittaci",A70-A74
A71,Трахома,A70-A74
A71.0,Начальная стадия трахомы,A71
A71.1,Активная стадия трахомы,A71
A71.9,Трахома неуточненная,A71
A74,"Другие болезни, вызываемые хламидиями",A70-A74
A74.0,Хламидийный конъюнктивит (H13.1*),A74
A74.8,Другие хламидийные болезни,A74
A74.9,Хламидийная инфекция неуточненная,A74
A75-A79,РИККЕТСИОЗЫ (A75-A79),A00-B99
A75,Сыпной тиф,A75-A79
A75.0,"Эпидемический вшивый тиф, вызываемый Rickettsia prowazekii",A75
A75.1,Рецидивирующий тиф [болезнь Брилла],A75
A75.2,"Тиф, вызываемый Rickettsia typhi",A75
A75.3,"Тиф, вызываемый Rickettsia tsutsugamushi",A75
A75.9,Сыпной тиф неуточненный,A75
A77,Пятнистая лихорадка [клещевые риккетсиозы],A75-A79
A77.0,"Пятнистая лихорадка, вызываемая Rickettsia rickettsii",A77
A77.1,"Пятнистая лихорадка, вызываемая Rickettsia conorii",A77
A77.2,"Пятнистая лихорадка, вызываемая Rickettsia siberica",A77
A77.3,"Пятнистая лихорадка, вызываемая Rickettsia australis",A77
A77.8,Другие пятнистые лихорадки,A77
A77.9,Пятнистая лихорадка неуточненная,A77
A78,Лихорадка Ку,A75-A79
A79,Другие риккетсиозы,A75-A79
A79.0,Окопная лихорадка,A79
A79.1,"Осповидный риккетсиоз, вызываемый Rickettsia akari",A79
A79.8,Другие уточненные риккетсиозы,A79
A79.9,Риккетсиоз неуточненный,A79
A80-A89,ВИРУСНЫЕ ИНФЕКЦИИ ЦЕНТРАЛЬНОЙ НЕРВНОЙ СИСТЕМЫ (A80-A89),A00-B99
A80,Острый полиомиелит,A80-A89
A80.0,"Острый паралитический полиомиелит, ассоциированный с вакциной",A80
A80.1,"Острый паралитический полиомиелит, вызванный диким завезенным вирусом",A80
A80.2,"Острый паралитический полиомиелит, вызванный диким природным вирусом",A80
A80.3,Острый паралитический полиомиелит другой и неуточненный,A80
A80.4,Острый непаралитический полиомиелит,A80
A80.9,Острый полиомиелит неуточненный,A80
A81,Медленные вирусные инфекции центральной нервной системы,A80-A89
A81.0,Болезнь Крейтцфельдта-Якоба,A81
A81.1,Подострый склерозирующий панэнцефалит,A81
A81.2,Прогрессирующая многоочаговая лейкоэнцефалопатия,A81
A81.8,Другие медленные вирусные инфекции центральной нервной системы,A81
A81.9,Медленная вирусная инфекция центральной нервной системы неуточненная,A81
A82,Бешенство,A80-A89
A82.0,Лесное бешенство,A82
A82.1,Городское бешенство,A82
A82.9,Бешенство неуточненное,A82
A83,Комариный вирусный энцефалит,A80-A89
A83.0,Японский энцефалит,A83
A83.1,Западный лошадиный энцефалит,A83
A83.2,Восточный лошадиный энцефалит,A83
A83.3,Энцефалит Сент-Луис,A83
A83.4,Австралийский энцефалит,A83
A83.5,Калифорнийский энцефалит,A83
A83.6,"Болезнь, вызванная вирусом Роцио",A83
A83.8,Другие комариные вирусные энцефалиты,A83
A83.9,Комариный вирусный энцефалит неуточненный,A83
A84,Клещевой вирусный энцефалит,A80-A89
A84.0,Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит],A84
A84.1,Центральноевропейский клещевой энцефалит,A84
A84.8,Другие клещевые вирусные энцефалиты,A84
A84.9,Клещевой вирусный энцефалит неуточненный,A84
A85,"Другие вирусные энцефалиты, не классифицированные в других рубриках",A80-A89
A85.0,Энтеровирусный энцефалит (G05.1*),A85
A85.1,Аденовирусный энцефалит (G05.1*),A85
A85.2,"Вирусный энцефалит, передаваемый членистоногими, неуточненный",A85
A85.8,Другие уточненные вирусные энцефалиты,A85
A86,Вирусный энцефалит неуточненный,A80-A89
A87,Вирусный менингит,A80-A89
A87.0,Энтеровирусный менингит (G02.0*),A87
A87.1,Аденовирусный менингит (G02.0*),A87
A87.2,Лимфоцитарный хориоменингит,A87
A87.8,Другой вирусный менингит,A87
A87.9,Вирусный менингит неуточненный,A87
A88,"Другие вирусные инфекции центральной нервной системы, не классифицированные в других рубриках",A80-A89
A88.0,Энтеровирусная экзантематозная лихорадка [бостонская экзантема],A88
A88.1,Эпидемическое головокружение,A88
A88.8,Другие уточненные вирусные инфекции центральной нервной системы,A88
A89,Вирусная инфекция центральной нервной системы неуточненная,A80-A89
A90-A99,"ВИРУСНЫЕ ЛИХОРАДКИ, ПЕРЕДАВАЕМЫЕ ЧЛЕНИСТОНОГИМИ, И ВИРУСНЫЕ ГЕМОРРАГИЧЕСКИЕ ЛИХОРАДКИ (A90-A99)",A00-B99
A90,Лихорадка денге [классическая лихорадка денге],A90-A99
A91,"Геморрагическая лихорадка, вызванная вирусом денге",A90-A99
A92,Другие комариные вирусные лихорадки,A90-A99
A92.0,"Болезнь, вызванная вирусом Чикунгунья",A92
A92.1,Лихорадка О'Ньонг-Ньонг,A92
A92.2,Венесуэльская лошадиная лихорадка,A92
A92.3,Лихорадка Западного Нила,A92
A92.4,Лихорадка Рифт-Валли [долины Рифт],A92
A92.8,Другая уточненная комариная вирусная лихорадка,A92
A92.9,Комариная вирусная лихорадка неуточненная,A92
A93,"Другие вирусные лихорадки, передаваемые членистоногими, не классифицированные в других рубриках",A90-A99
A93.0,"Болезнь, вызванная вирусом Оропуш",A93
A93.1,Москитная лихорадка,A93
A93.2,Колорадская клещевая лихорадка,A93
A93.8,"Другие уточненные вирусные лихорадки, передаваемые членистоногими",A93
A94,"Вирусная лихорадка, передаваемая членистоногими, неуточненная",A90-A99
A95,Желтая лихорадка,A90-A99
A95.0,Лесная желтая лихорадка,A95
A95.1,Городская желтая лихорадка,A95
A95.9,Желтая лихорадка неуточненная,A95
A96,Ареновирусная геморрагическая лихорадка,A90-A99
A96.0,Геморрагическая лихорадка Хунин,A96
A96.1,Геморрагическая лихорадка Мачупо,A96
A96.2,Лихорадка Ласса,A96
A96.8,Другие ареновирусные геморрагические лихорадки,A96
A96.9,Ареновирусная геморрагическая лихорадка неуточненная,A96
A98,"Другие вирусные геморрагические лихорадки, не классифицированные в других рубриках",A90-A99
A98.0,Крымская геморрагическая лихорадка (вызванная вирусом Конго),A98
A98.1,Омская геморрагическая лихорадка,A98
A98.2,Кьясанурская лесная болезнь,A98
A98.3,"Болезнь, вызванная вирусом Марбург",A98
A98.4,"Болезнь, вызванная вирусом Эбола",A98
A98.5,Геморрагическая лихорадка с почечным синдромом,A98
A98.8,Другие уточненные вирусные геморрагические лихорадки,A98
A99,Вирусная геморрагическая лихорадка неуточненная,A90-A99
B00-B09,"ВИРУСНЫЕ ИНФЕКЦИИ, ХАРАКТЕРИЗУЮЩИЕСЯ ПОРАЖЕНИЯМИ КОЖИ И СЛИЗИСТЫХ ОБОЛОЧЕК (B00-B09)",A00-B99
B00,"Инфекции, вызванные вирусом герпеса [herpes simplex]",B00-B09
B00.0,Герпетическая экзема,B00
B00.1,Герпетический везикулярный дерматит,B00
B00.2,Герпетический гингивостоматит и фаринготонзиллит,B00
B00.3+,Герпетический менингит (G02.0*),B00
B00.4+,Герпетический энцефалит (G05.1*),B00
B00.5+,Герпетическая болезнь глаз,B00
B00.7,Диссеминированная герпетическая болезнь,B00
B00.8,Другие формы герпетических инфекций,B00
B00.9,Герпетическая инфекция неуточненная,B00
B01,Ветряная оспа [varicella],B00-B09
B01.0,Ветряная оспа с менингитом (G02.0*),B01
B01.1,Ветряная оспа с энцефалитом (G05.1*),B01
B01.2,Ветряная оспа с пневмонией (J17.1*),B01
B01.8,Ветряная оспа с другими осложнениями,B01
B01.9,Ветряная оспа без осложнений,B01
B02,Опоясывающий лишай [herpes zoster],B00-B09
B02.0,Опоясывающий лишай с энцефалитом (G05.1*),B02
B02.1,Опоясывающий лишай с менингитом (G02.0*),B02
B02.2,Опоясывающий лишай с другими осложнениями со стороны нервной системы,B02
B02.3,Опоясывающий лишай с глазными осложнениями,B02
B02.7,Диссеминированный опоясывающий лишай,B02
B02.8,Опоясывающий лишай с другими осложнениями,B02
B02.9,Опоясывающий лишай без осложнений,B02
B03,Оспа,B00-B09
B04,"Инфекции, вызванные вирусом обезьяньей оспы",B00-B09
B05,Корь,B00-B09
B05.0,"Корь, осложненная энцефалитом (G05.1*)",B05
B05.1,"Корь, осложненная менингитом (G02.0*)",B05
B05.2,"Корь, осложненная пневмонией (J17.1*)",B05
B05.3,"Корь, осложненная средним отитом (H67.1*)",B05
B05.4,Корь с кишечными осложнениями,B05
B05.8,Корь с другими осложнениями,B05
B05.9,Корь без осложнений,B05
B06,Краснуха [немецкая корь],B00-B09
B06.0,Краснуха с неврологическими осложнениями,B06
B06.8,Краснуха с другими осложнениями,B06
B06.9,Краснуха без осложнений,B06
B07,Вирусные бородавки,B00-B09
B08,"Другие вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек, не классифицированные в других рубриках",B00-B09
B08.0,"Другие инфекции, вызванные ортопоксвирусом",B08
B08.1,Контагиозный моллюск,B08
B08.2,Экзантема внезапная (шестая болезнь),B08
B08.3,Эритема инфекционная (пятая болезнь),B08
B08.4,Энтеровирусный везикулярный стоматит с экзантемой,B08
B08.5,Энтеровирусный везикулярный фарингит,B08
B08.8,"Другие уточненные инфекции, характеризующиеся поражением кожи и слизистых оболочек",B08
B09,"Вирусная инфекция, характеризующаяся поражением кожи и слизистых оболочек, неуточненная",B00-B09
B15-B19,ВИРУСНЫЙ ГЕПАТИТ (B15-B19),A00-B99
B15,Острый гепатит A,B15-B19
