code;classification
A06AD65;Макрогол в комбинации с другими препаратами
A06AG;Слабительные препараты в клизмах
A06AG01;Sodium phosphate
A06AG02;Bisacodyl
A06AG03;Дантрон (в т.ч. в комбинации с другими препаратами)
A06AG04;Glycerol
A06AG06;Oil
A06AG07;Sorbitol
A06AG10;Докузат натрия (в т.ч. в комбинации с другими препаратами)
A06AG11;Лаурилсульфоацетат натрия (в т.ч. в комбинации с другими препаратами)
A06AG20;Комбинированные слабительные препараты
A06AH;Антагонисты периферических опиоидных рецепторов
A06AH01;Methylnaltrexone bromide
A06AH02;Alvimopan
A06AH03;Naloxegol
A06AX;Прочие слабительные препараты
A06AX01;Glycerol
A06AX02;Препараты, образующие углекислый газ
A06AX03;Lubiprostone
A07;Противодиарейные, кишечные противовоспалительные и противомикробные препараты
A07A;Кишечные противомикробные препараты
A07AA;Антибиотики
A07AA01;Neomycin
A07AA02;Nystatin
A07AA03;Natamycin
A07AA04;Streptomycin
A07AA05;Polymyxin B
A07AA06;Paromomycin
A07AA07;Amphotericin B
A07AA08;Kanamycin
A07AA09;Vancomycin
A07AA10;Colistin
A07AA11;Rifaximin
A07AA12;Fidaxomicin
A07AA51;Неомицин в комбинации с другими препаратами
A07AA54;Стрептомицин в комбинации с другими препаратами
A07AB;Сульфаниламиды
A07AB02;Phthalylsulfathiazole
A07AB03;Sulfaguanidine
A07AB04;Succinylsulfathiazole
A07AC;Производные имидазола
A07AC01;Miconazole
A07AX;Прочие кишечные противомикробные препараты
A07AX01;Broxyquinoline
A07AX02;Acetarsol
A07AX03;Nifuroxazide
A07AX04;Nifurzide
A07B;Кишечные адсорбенты
A07BA;Препараты угля
A07BA01;Medicinal charcoal
A07BA51;Медицинский уголь в комбинации с другими препаратами
A07BB;Препараты висмута
A07BC;Прочие кишечные адсорбенты
A07BC01;Pectin
A07BC02;Kaolin
A07BC03;Crospovidone
A07BC04;Attapulgite
A07BC05;Diosmectite
A07BC30;Комбинированные препараты
A07BC54;Аттапульгит в комбинации с другими препаратами
A07C;Электролиты с углеводами
A07CA;Регидратанты для приема внутрь
A07D;Препараты, снижающие перистальтику ЖКТ
A07DA;Препараты, снижающие перистальтику ЖКТ
A07DA01;Diphenoxylate
A07DA02;Opium
A07DA03;Loperamide
A07DA04;Difenoxin
A07DA05;Loperamide oxide
A07DA52;Морфин в комбинации с другими препаратами
A07DA53;Лоперамид в комбинации с другими препаратами
A07E;Кишечные противовоспалительные препараты
A07EA;Кортикостероиды для местного применения
A07EA01;Prednisolone
A07EA02;Hydrocortisone
A07EA03;Prednisone
A07EA04;Betamethasone
A07EA05;Tixocortol
A07EA06;Budesonide
A07EA07;Beclometasone
A07EB;Противоаллергические препараты (исключая кортикостероиды)
A07EB01;Cromoglicic acid
A07EC;Аминосалициловая кислота и ее аналоги
A07EC01;Sulfasalazine
A07EC02;Mesalazine
A07EC03;Olsalazine
A07EC04;Balsalazide
A07F;Противодиарейные препараты биологического происхождения, регулирующие равновесие кишечной микрофлоры
A07FA;Противодиарейные препараты биологического происхождения, регулирующие равновесие кишечной микрофлоры
A07FA01;Препараты, содержащие микроорганизмы, продуцирующие молочную кислоту
A07FA02;Saccharomyces Boulardii
A07FA51;Препараты, содержащие микроорганизмы, продуцирующие молочную кислоту в комбинации с другими препаратами
A07X;Другие противодиарейные препараты
A07XA;Другие противодиарейные препараты
A07XA01;Albumin tannate
A07XA02;Ceratonia
A07XA03;Соединения кальция
A07XA04;Racecadotril
A07XA51;Альбумин таннат в комбинации с другими препаратами
A08;Препараты для лечения ожирения (исключая диетические продукты)
A08A;Препараты для лечения ожирения (исключая диетические продукты)
A08AA;Препараты для лечения ожирения центрального действия
A08AA01;Phentermine
A08AA02;Fenfluramine
A08AA03;Amfepramone
A08AA04;Dexfenfluramine
A08AA05;Mazindol
A08AA06;Etilamfetamine
A08AA07;Cathine
A08AA08;Clobenzorex
A08AA09;Mefenorex
A08AA10;Sibutramine
A08AA11;Lorcaserin
A08AA56;Эфедрин в сочетании с другими препаратами
A08AA62;Бупропион и налтрексон
A08AB;Препараты для лечения ожирения периферического действия
A08AB01;Orlistat
A08AX;Прочие препараты для лечения ожирения
A08AX01;Rimonabant
A09;Препараты, способствующие пищеварению (в т.ч. ферментные препараты)
A09A;Препараты, способствующие пищеварению (в т.ч. ферментные препараты)
A09AA;Ферментные препараты
A09AA01;Diastase
A09AA02;Multienzymes (lipase, protease etc.)
A09AA03;Pepsin
A09AA04;Tilactase
A09AB;Кислотосодержащие препараты
A09AB01;Glutamic acid hydrochloride
A09AB02;Betaine hydrochloride
A09AB03;Hydrochloric acid
A09AB04;Citric acid
A09AC;Комбинация ферментных и кислотосодержащих препаратов
A09AC01;Пепсин в комбинации с кислотосодержащими препаратами
A09AC02;Полиферменты в комбинации с кислотосодержащими препаратами
A10;Препараты для лечения сахарного диабета
A10A;Инсулины и их аналоги
A10AB;Инсулины и их аналоги короткого действия
A10AB01;Insulin (human)
A10AB02;Insulin (beef)
A10AB03;Insulin (pork)
A10AB04;Insulin lispro
A10AB05;Insulin aspart
A10AB06;Insulin glulisine
A10AB30;Комбинации
A10AC;Инсулины и их аналоги средней продолжительности действия
A10AC01;Insulin (human)
A10AC02;Insulin (beef)
A10AC03;Insulin (pork)
A10AC04;Insulin lispro
A10AC30;Комбинации
A10AD;Инсулины для инъекций и их аналоги средней продолжительности или длительного действия в комбинации с инсулинами короткого действия
A10AD01;Insulin (human)
A10AD02;Insulin (beef)
A10AD03;Insulin (pork)
A10AD04;Insulin lispro
A10AD05;Insulin aspart
A10AD06;Инсулин деглюдек в комбинации с инсулином аспарт
A10AD30;Комбинации
A10AE;Инсулины и их аналоги длительного действия
A10AE01;Insulin (human)
A10AE02;Insulin (beef)
A10AE03;Insulin (pork)
A10AE04;Insulin glargine
A10AE05;Insulin detemir
A10AE06;Insulin degludec
A10AE30;Комбинации
A10AE54;Инсулин гларгин+Ликсисенатид
A10AE56;Инсулин деглудек и лираглутид
A10B;Пероральные гипогликемические препараты
A10BA;Бигуаниды
A10BA01;Phenformin
A10BA02;Metformin
A10BA03;Buformin
A10BB;Производные сульфонилмочевины
A10BB01;Glibenclamide
A10BB02;Chlorpropamide
A10BB03;Tolbutamide
A10BB04;Glibornuride
A10BB05;Tolazamide
A10BB06;Carbutamide
A10BB07;Glipizide
A10BB08;Gliquidone
A10BB09;Gliclazide
A10BB10;Metahexamide
A10BB11;Glisoxepide
A10BB12;Glimepiride
A10BB31;Acetohexamide
A10BC;Гетероциклические производные сульфонилмочевины
A10BC01;Glymidine
A10BD;Комбинация бигуанидов и производных сульфонилмочевины
A10BD01;Фенформин в комбинации с производными сульфонилмочевины
A10BD02;Метформин в комбинации с производными сульфонилмочевины
A10BD03;Метформин в комбинации с розиглитазоном
A10BD04;Глимепирид в комбинации с росиглитазоном
A10BD05;Метформин в комбинации с пиоглитазоном
A10BD06;Глимепирид в комбинации с пиоглитазоном
A10BD07;Метформин в комбинации с ситаглиптином
A10BD08;Метформин в комбинации с вилдаглиптином
A10BD09;Пиоглитазон в комбинации с алоглиптином
A10BD10;Метформин в комбинации с саксаглиптином
A10BD11;Метформин в комбинации с линаглиптином
A10BD13;Алоглиптин и метформин
A10BD14;Метформин в комбинации с репаглинидом
A10BD15;Метформин в комбинации с дапаглифлозином
A10BD19;Линаглиптин в комбинации с эмпаглифлозином
A10BD20;Метформин в комбинации с эмпаглифлозином
A10BD21;Саксаглиптин в комбинации с дапаглифлозином
A10BF;Ингибиторы альфа глюкозидазы
A10BF01;Acarbose
A10BF02;Miglitol
A10BF03;Voglibose
A10BG;Тиазолидинедионы
A10BG01;Troglitazone
A10BG02;Rosiglitazone
A10BG03;Pioglitazone
A10BH;Ингибиторы дипептидилпептидазы 4 (ДПП-4)
A10BH01;Sitagliptin
A10BH02;Vildagliptin
A10BH03;Saxagliptin
A10BH04;Alogliptin
A10BH05;Linagliptin
A10BH06;Gemigliptin
A10BH07;Evogliptin
A10BJ;Аналог глюкагоноподобного пептида-1 (ГПП-1)
A10BJ01;Exenatide
A10BJ02;Liraglutide
A10BJ06;Semaglutide
A10BK;Ингибиторы натрийзависимого переносчика глюкозы 2 типа
A10BK01;Dapagliflozin
A10BK02;Canagliflozin
A10BK03;Empagliflozin
A10BK04;Ertugliflozin
A10BK05;Ipragliflozin
A10BX;Прочие гипогликемические препараты
A10BX01;Guar gum
A10BX02;Repaglinide
A10BX03;Nateglinide
A10BX05;Pramlintide
A10BX06;Benfluorex
A10BX07;Liraglutide
A10BX08;Mitiglinide
A10BX10;Lixisenatide
A10BX14;Dulaglutide
A10X;Другие лекарственные препараты для лечения сахарного диабета
A10XA;Ингибиторы альдозоредуктазы
A10XA01;Tolrestat
A11;Витамины
A11A;Поливитамины в комбинации с другими препаратами
A11AA;Поливитамины с минеральными веществами
A11AA01;Поливитамины с железом
A11AA02;Поливитамины с кальцием
A11AA03;Поливитамины с другими минеральными веществами
A11AA04;Поливитамины с микроэлементами
A11AB;Поливитамины в других комбинациях
A11B;Поливитамины
A11BA;Поливитамины
A11C;Витамины A и D и их комбинации
A11CA;Витамин A
A11CA01;Retinol
A11CA02;Betacarotene
A11CB;Комбинация витаминов A и D
A11CC;Витамин D и его производные
A11CC01;Ergocalciferol
A11CC02;Dihydrotachysterol
A11CC03;Alfacalcidol
A11CC04;Calcitriol
A11CC05;Colecalciferol
A11CC06;Calcifediol
A11CC20;Комбинация производных витаминов D
A11D;Витамин B1 и его комбинация с витаминами B6 и B12
A11DA;Витамин B1
A11DA01;Thiamine
A11DA02;Sulbutiamine
A11DA03;Benfotiamine
A11DB;Комбинация витамина B1 с витаминами B6 и/или B12
A11E;Комплекс витаминов группы B (включая комбинации с другими препаратами)
A11EA;Витамины группы B
A11EB;Витамины группы B в комбинации с аскорбиновой кислотой
A11EC;Витамины группы B в комбинации с минеральными веществами
A11ED;Витамины группы B в комбинации с анаболическими стероидными препаратами
A11EX;Витамины группы B в комбинации с другими препаратами
A11G;Аскорбиновая кислота (включая комбинации с другими препаратами)
A11GA;Аскорбиновая кислота
A11GA01;Ascorbic acid
A11GB;Аскорбиновая кислота в комбинации с другими препаратами
A11GB01;Аскорбиновая кислота в комбинации с препаратами кальция
A11H;Прочие витамины
A11HA;Прочие витамины
A11HA01;Nicotinamide
A11HA02;Pyridoxine
A11HA03;Tocopherol
A11HA04;Riboflavin
A11HA05;Biotin
A11HA06;Pyridoxal phosphate
A11HA07;Inositol
A11HA08;Tocofersolan
A11HA30;Dexpanthenol
A11HA31;Calcium pantothenate
A11HA32;Pantethine
A11J;Витамины в комбинации с другими препаратами
A11JA;Комбинации витаминов
A11JB;Витамины в комбинации с минеральными веществами
A11JC;Витамины в комбинации с прочими препаратами
A12;Минеральные добавки
A12A;Препараты кальция
A12AA;Препараты кальция
A12AA01;Calcium phosphate
A12AA02;Calcium glubionate
A12AA03;Calcium gluconate
A12AA04;Calcium carbonate
A12AA05;Calcium lactate
A12AA06;Calcium lactate gluconate
A12AA07;Calcium chloride
A12AA08;Calcium glycerylphosphate
A12AA09;Кальция цитрат-лизин комплекс
A12AA10;Calcium glucoheptonate
A12AA11;Calcium pangamate
A12AA13;Calcium citrate
A12AA20;Комбинация различных солей кальция
A12AA30;Calcium laevulate
A12AX;Препараты кальция в комбинации с другими препаратами
A12B;Препараты калия
A12BA;Препараты калия
A12BA01;Potassium chloride
A12BA02;Potassium citrate
A12BA03;Potassium hydrogentartrate
A12BA04;Potassium hydrogencarbonate
A12BA05;Potassium gluconate
A12BA30;Комбинация различных солей калия
A12BA51;Калия хлорид в комбинации с другими препаратами
A12C;Другие минеральные добавки
A12CA;Препараты натрия
A12CA01;Sodium chloride
A12CA02;Sodium sulfate
A12CB;Препараты цинка
A12CB01;Zinc sulfate
A12CB02;Zinc gluconate
A12CB03;Цинк-протеиновый комплекс
A12CC;Препараты магния
A12CC01;Magnesium chloride
A12CC02;Magnesium sulfate
A12CC03;Magnesium gluconate
A12CC04;Magnesium citrate
A12CC05;Magnesium aspartate
A12CC06;Magnesium lactate
A12CC07;Magnesium levulinate
A12CC08;Magnesium pidolate
A12CC09;Magnesium orotate
A12CC10;Magnesium oxide
A12CC30;Комбинация различных солей магния
A12CD;Препараты фтора
A12CD01;Sodium fluoride
A12CD02;Sodium monofluorophosphate
A12CD51;Препараты фтора в комбинации с другими препаратами
A12CE;Препараты селена
A12CE01;Sodium selenate
A12CE02;Sodium selenite
A12CX;Препараты прочих минеральных веществ
A13;Общетонизирующие препараты
A13A;Общетонизирующие препараты
A14;Анаболические препараты для системного применения
A14A;Анаболические стероидные препараты
A14AA;Производные андростана
A14AA01;Androstanolone
A14AA02;Stanozolol
A14AA03;Metandienone
A14AA04;Metenolone
A14AA05;Oxymetholone
A14AA06;Quinbolone
A14AA07;Prasterone
A14AA08;Oxandrolone
A14AA09;Norethandrolone
A14AB;Производные эстрена
A14AB01;Nandrolone
A14AB02;Ethylestrenol
A14AB03;Oxabolone cipionate
A14B;Прочие анаболические стероидные препараты
A15;Препараты, стимулирующие аппетит
A16;Другие препараты для лечения заболеваний ЖКТ и нарушений обмена веществ
A16A;Другие препараты для лечения заболеваний ЖКТ и нарушений обмена веществ
A16AA;Аминокислоты и их производные
A16AA01;Levocarnitine
A16AA02;Ademetionine
A16AA03;Levoglutamide
A16AA04;Mercaptamine
A16AA05;Carglutamic acid
A16AA06;Betaine
A16AB;Ферментные препараты
A16AB01;Alglucerase
A16AB02;Imiglucerase
A16AB03;Agalsidase alfa
A16AB04;Agalsidase beta
A16AB05;Laronidase
A16AB06;Sacrosidase
A16AB07;Alglucosidase alfa
A16AB08;Galsulfase
A16AB09;Idursulfase
A16AB10;Velaglucerase alfa
A16AB11;Taliglucerase alfa
A16AB12;Elosulfase alfa
A16AB13;Asfotase alfa
A16AB14;Sebelipase alfa
A16AB16;Idursulfase beta
A16AX;Прочие препараты для лечения заболеваний ЖКТ и нарушений обмена веществ
A16AX01;Thioctic acid
A16AX02;Anethole trithione
A16AX03;Sodium phenylbutyrate
A16AX04;Nitisinone
A16AX05;Zinc acetate
A16AX06;Miglustat
A16AX07;Saproterin
A16AX10;Eliglustat
A16AX11;Sodium benzoate
B;Кроветворение и кровь
B01;Антикоагулянты
B01A;Антикоагулянты
B01AA;Антагонисты витамина K
B01AA01;Dicoumarol
B01AA02;Phenindione
B01AA03;Warfarin
B01AA04;Phenprocoumon
B01AA07;Acenocoumarol
B01AA08;Ethyl biscoumacetate
B01AA09;Clorindione
B01AA10;Diphenadione
B01AA11;Tioclomarol
B01AB;Гепарин и его производные
B01AB01;Heparin
B01AB02;Antithrombin III
B01AB04;Dalteparin
B01AB05;Enoxaparin
B01AB06;Nadroparin
B01AB07;Parnaparin
B01AB08;Reviparin
B01AB09;Danaparoid
B01AB10;Tinzaparin
B01AB11;Sulodexide
B01AB12;Bemiparin
B01AB51;Гепарин в комбинации с другими препаратами
B01AC;Ингибиторы агрегации тромбоцитов (исключая гепарин)
B01AC01;Ditazole
B01AC02;Cloricromen
B01AC03;Picotamide
B01AC04;Clopidogrel
B01AC05;Ticlopidine
B01AC06;Acetylsalicylic acid
B01AC07;Dipyridamole
B01AC08;Carbasalate calcium
B01AC09;Epoprostenol
B01AC10;Indobufen
B01AC11;Iloprost
B01AC13;Abciximab
B01AC15;Aloxiprin
B01AC16;Eptifibatide
B01AC17;Tirofiban
B01AC18;Triflusal
B01AC19;Beraprost
B01AC22;Prasugrel
